feature_id,name,feature_type,latitude,longitude,flood_risk
node/4610458627,Army Medical Facility,hospital,19.0260761,73.029474,True
node/7048131904,Surya Hospital and Iccu,hospital,19.0360934,73.0231659,True
way/563568594,Meenatai Thakre Hospital,hospital,19.0341449,73.0207568,True
way/563568595,Apeejay School - Nerul,school,19.0353262,73.0207326,True
way/569828892,Ryan International School - Nerul,school,19.0303659,73.028161,True
way/575838155,People's Education Society High School,school,19.0287882,73.0364138,True
way/596071800,SBOA Public School,school,19.039613,73.0254524,True
node/10572987747,,place_of_worship,19.0307459,73.0326963,True
node/10572987748,,place_of_worship,19.0303419,73.0327979,True
node/10618778100,,place_of_worship,19.0308103,73.0323924,True
node/10767421182,Sector 9 Hindu Temple,place_of_worship,19.0299055,73.0337838,True
way/353981507,Jama Masjid Nerul,place_of_worship,19.0346789,73.0205033,True
way/354016567,,place_of_worship,19.0322624,73.0239033,True
way/415984445,,place_of_worship,19.0352753,73.0214867,True
way/628548443,Dhamma Vipula Vipassana Meditation Center,place_of_worship,19.0279725,73.0326542,True
way/708010002,Ayyappa Mandir,place_of_worship,19.0364208,73.0242256,True
way/749128449,,place_of_worship,19.0368419,73.0237697,True
way/1150918871,,place_of_worship,19.0304296,73.0328219,True
way/1150918873,,place_of_worship,19.0307394,73.032728,True
way/1157815244,Sector 9 Hindu Temple,place_of_worship,19.029917,73.0337887,True
relation/5275080,Dhamma Vipula Vipassana Meditation Center,place_of_worship,19.0274498,73.0327411,True
way/353805061,Agarwal Corner,residential_building,19.0296568,73.0227431,True
way/354290739,Monil Cottage C.H.S,residential_building,19.0303169,73.0223834,True
way/1101607477,"DREAM APEX REALITY 24HIGH, NERUL",commercial_building,19.0390346,73.0300621,True
way/1451298670,Kamal House,commercial_building,19.0341437,73.0302983,True
node/4806873609,Vidyalankar Gurukul,building,19.033262,73.0218991,True
way/353416860,,building,19.0242871,73.0316951,True
way/353416861,,building,19.0283593,73.0306697,True
way/353416863,,building,19.0256615,73.032545,True
way/353416865,,building,19.024474,73.0312448,True
way/353416866,,building,19.0268223,73.032656,True
way/353416867,,building,19.025066,73.0317682,True
way/353416868,,building,19.0255165,73.0324571,True
way/353416870,,building,19.026663,73.0326453,True
way/353416871,,building,19.0265154,73.0323967,True
